id,debtor_iban,creditor_iban,amount,currency,urgent
P001,XK051212012345678906,XK051301001002074155,1250.00,EUR,false
P002,XK051212012345678906,XK471212000000004411,300.5,EUR,false
P003,XK051301001002074155,XK081501000000123456,25000.00,EUR,false
P004,XK081501000000123456,XK051212012345678906,99.99,EUR,true
P005,XK061212012345678906,XK352001000000987654,40.00,EUR,false
P006,XK352001000000987654,XK621301000000555501,500.00,USD,false
P007,XK621301000000555501,XK352001000000987654,0.00,EUR,false
P008,XK352001000000987654,XK051212012345678906,1.234,EUR,false
P009,XK352001000000987654,XK051212012345678906,12,50,EUR,false
P003,XK471212000000004411,XK352001000000987654,10.00,EUR,false

P010,XK352001000000987654,XK352001000000987654,75.00,EUR,false
P011,XK621301000000555501,XK352001000000987654,9999.99,EUR,false
P012,XK352001000000987654,XK081501000000123456,10000.00,EUR,false
P013,XK471212000000004411,XK621301000000555501,20.00,EUR,yes
P014,XK081501000000123456,XK471212000000004411,-50.00,EUR,false
P015,XK051301001002074155,XK352001000000987654,12350.00,EUR,false
P016,XK621301000000555501,XK051301001002074155,420.00,EUR,true
